species,lifespan
epitheca princeps,2.07
epomophorus gambianus,21
eptatretus stoutii,40
eptesicus fuscus,19
equus asinus,27.5
equus burchellii,20
equus caballus,62
equus grevyi,12.5
equus hemionus,14
equus quagga,20
equus zebra,20
eremophila alpestris,7.92
erethizon dorsatum,6
erignathus barbatus,31
erinaceus europaeus,8
eriocheir sinensis,3
erythrocebus patas,21
eschrichtius robustus,52.5
esox lucius,12
esox masquinongy,19
estrilda astrild,4
etheostoma baileyi,3
etheostoma barbouri,2
etheostoma blennioides,3
etheostoma caeruleum,3
etheostoma microperca,3
etheostoma nigrum,3
eubalaena glacialis,67
eubranchipus vernalis,0.27
euchroma giganteum,3
eudocimus albus,16.33
eudorcas thomsonii,10.5
eudyptes chrysocome,10
eudyptula minor,6
eulemur cinereiceps,22.5
eulemur fulvus,25
eulemur rubriventer,22.5
eulemur rufus,25.4
eumetopias jubatus,25
eunectes murinus,10
eunectes notaeus,17.5
euoticus elegantulus,3.5
euphausia superba,9
euphyes dukesi,1
euprymna scolopes,0.21
eurosta solidaginis,1
eurycea longicauda,7.5
eurycea wilderae,4.4
eurytides marcellus,0.5
falco cherrug,10
falco columbarius,11.92
falco eleonorae,6
falco mexicanus,9.1
falco naumanni,6.2
falco peregrinus,20
falco rusticolus,13.5
falco sparverius,11
falco tinnunculus,16.2
fasciolopsis buski,1
felis chaus,13
felis manul,2.26
felis nigripes,12
felis silvestris,15
feresa attenuata,21
ficedula hypoleuca,10.92
forficula auricularia,1
formica obscuripes,1
fratercula arctica,31.92
fratercula cirrhata,6
fratercula corniculata,20
fregata andrewsi,25.6
fregata magnificens,14.5
fregata minor,37
fringilla montifringilla,14.8
fulica americana,9
fulmarus glacialis,31.8
fundulus sciadicus,4
furcifer pardalis,2
fusconaia ebena,75
gadus morhua,16
galago alleni,8
galago demidoff,4.5
galago moholi,16.6
galago senegalensis,3.5
galago zanzibaricus,16.5
galemys pyrenaicus,3.5
galeocerdo cuvier,27
gallicolumba luzonica,15
gallinago gallinago,9.25
gallinula chloropus,10.5
gammarus fasciatus,2.5
garrulus glandarius,16.75
gasteracantha cancriformis,1
gavia adamsii,18
gavia arctica,28
gavia immer,17
gavia stellata,23
gazella dorcas,12.5
gazella gazella,8
gazella subgutturosa,6
geocapromys ingrahami,6
geochelone elegans,57.5
geococcyx californianus,3.75
geomys pinetis,2
georychus capensis,3
geothlypis trichas,11.5
geukensia demissa,15
ginglymostoma cirratum,25
giraffa camelopardalis,25
glaucomys sabrinus,4
glaucomys volans,4
glenurus gratus,1.5
glirulus japonicus,6
glis glis,9
glossodoris atromarginata,4.5
gopherus agassizii,1
gorilla beringei,50
gorilla gorilla,47
gracilinanus agilis,1.5
grampus griseus,30
graphiurus murinus,5.5
graptemys oculifera,29.25
graptemys pseudogeographica,40
gromphadorhina portentosa,5
grus americana,26
grus canadensis,31.25
grus japonensis,30
gulo gulo,13
gymnogyps californianus,45
gypaetus barbatus,21.4
habronattus calcaratus,1
habronattus viridipes,1
haematopinus suis,0.1
haematopus palliatus,17
hagenius brevistylus,5.5
haliaeetus leucocephalus,28
haliaeetus leucogaster,30
haliaeetus vocifer,0
halichoerus grypus,46
haliotis fulgens,30
haplonycteris fischeri,10
harmonia axyridis,3
harpia harpyja,30
helisoma anceps,2.5
helix pomatia,10
helostoma temminkii,6
hemibelideus lemuroides,4
hemicentetes semispinosus,2.7
hemitragus hylocrius,3.25
hemitragus jemlahicus,10
hepsetus odoe,4.5
herpestes edwardsi,7
herpestes ichneumon,12
hesperia leonardus,0.04
hesperia ottoe,0.01
hesperia uncas,0.06
heterocephalus glaber,30
heterodon nasicus,14
heterohyrax brucei,14
hexagenia limbata,0.01
hippocampus ingens,4
hippocampus zosterae,1
hippopotamus amphibius,55
hipposideros diadema,7
hipposideros fulvus,12
hippotragus equinus,17
hirundo rustica,4
histrionicus histrionicus,13
histriophoca fasciata,25
homo sapiens,58
hoplomys gymnurus,2
huso huso,56
hyaena brunnea,12
hydrochoerus hydrochaeris,6
hydropotes inermis,12
hydrurga leptonyx,26
hyemoschus aquaticus,13
hylobates agilis,25
hylobates klossii,25
hylobates lar,30
hylobates pileatus,25
hylocichla mustelina,8.92
hymenoepimecis argyraphaga,0.06
hymenolaimus malacorhynchos,8
hyperolius viridiflavus,1
hyperoodon ampullatus,37
hypoderma lineatum,1
hypophthalmichthys molitrix,20
hypsibius dujardini,8
hypsignathus monstrosus,30
hystrix africaeaustralis,13.5
hystrix pumila,12
ichthyomyzon castaneus,7.5
ichthyomyzon fossor,7
ichthyomyzon gagei,3.64
ichthyomyzon unicuspis,7
ictalurus furcatus,0
ictalurus punctatus,14
icteria virens,8.9
icterus bullockii,7
icterus cucullatus,6
icterus galbula,11.58
icterus parisorum,6.42
icterus spurius,10.92
ictinia mississippiensis,11.17
ictiobus cyprinellus,6
ictiobus niger,24
idiacanthus fasciola,1
iguana iguana,8
inia geoffrensis,30
isoodon auratus,2.5
isoodon macrourus,1
istiophorus platypterus,4.5
isurus oxyrinchus,30.5
ixodes scapularis,2
ixoreus naevius,5.58
jabiru mycteria,30
jaculus jaculus,3.5
junco hyemalis,11.1
katsuwonus pelamis,10
kerodon rupestris,5
kinosternon flavescens,15
kobus leche,15
kobus megaceros,10.75
kobus vardonii,17
kogia breviceps,17
lagenorhynchus australis,13
lagopus lagopus,9
lagostrophus fasciatus,6
lama glama,20
lama guanicoe,28
lama pacos,7.5
lamna ditropis,21
lamna nasus,30
lampornis clemenciae,7.92
lampropeltis getula,5.5
lampsilis cariosa,7.8
lanius excubitor,4
lanius ludovicianus,12.5
larinioides cornutus,1
larus argentatus,31
larus atricilla,19.83
larus californicus,20
larus canus,24
larus delawarensis,23
larus glaucescens,24.75
larus pipixcan,9.2
larus ridibundus,18.17
lasionycteris noctivagans,12
lasiorhinus latifrons,14
lates niloticus,16
latrodectus hasselti,1.75
latrodectus mactans,3
leiopelma hamiltoni,23
lemniscomys barbarus,0.5
lemur catta,27.1
leontopithecus chrysopygus,10
leontopithecus rosalia,15
leopardus geoffroyi,14.5
leopardus guigna,11
leopardus pardalis,8.5
leopardus tigrinus,11
lepidochelys kempii,40
lepidosiren paradoxa,8.3
lepilemur septentrionalis,8
lepisosteus osseus,22
lepomis cyanellus,5
lepomis gibbosus,8
lepomis macrochirus,5
lepomis megalotis,3.5
lepomis microlophus,6
leporillus conditor,5
leptailurus serval,23
leptinotarsa decemlineata,2
leptonycteris nivalis,10
leptoptilos crumeniferus,25
lepus americanus,5
lepus arcticus,4
lepus europaeus,12
lepus saxatilis,5
lepus tibetanus,0.51
lepus timidus,9
lepus townsendii,8
limosa fedoa,25
linckia laevigata,10
linepithema humile,1
linuche unguiculata,0.25
lipotes vexillifer,24
lithobates capito,3
lithobates catesbeianus,8
lithobates chiricahuensis,14
lithobates pipiens,9
lithobates septentrionalis,6
lithobates sylvaticus,4
litocranius walleri,11
lobesia botrana,0.17
loligo forbesii,1.5
lontra canadensis,8.5
lontra provocax,3
